date,symbol,open_price,close_price,volume,sector
2024-08-19,AAPL,782.93,756.28,444143,Technology
2024-08-03,AAPL,237.56,229.48,714536,Technology
2024-08-08,AAPL,639.05,638.32,118301,Technology
2024-08-01,AMZN,338.68,348.3,478110,Consumer
2024-08-13,GOOGL,463.4,483.86,598347,Technology
2024-08-27,MSFT,456.21,464.04,315569,Technology
2024-08-21,TSLA,107.04,110.43,314921,Automotive
2024-08-08,GOOGL,893.27,850.82,773343,Technology
2024-08-13,MSFT,492.75,516.61,122263,Technology
2024-08-27,MSFT,660.84,671.64,131679,Technology
2024-08-11,MSFT,556.41,565.7,343027,Technology
2024-08-14,AMZN,319.59,324.58,6814,Consumer
2024-08-14,TSLA,989.1,998.54,997188,Automotive
2024-08-12,TSLA,951.46,905.75,924435,Automotive
2024-08-24,AAPL,620.82,647.45,604766,Technology
2024-08-07,AMZN,456.99,466.82,80688,Consumer
2024-08-08,MSFT,326.26,313.88,202939,Technology
2024-08-30,GOOGL,674.08,691.12,108570,Technology
2024-08-08,MSFT,265.93,254.0,987776,Technology
2024-08-03,TSLA,991.03,971.74,652194,Automotive
2024-08-05,TSLA,515.78,492.79,544623,Automotive
2024-08-18,MSFT,473.94,473.11,496158,Technology
2024-08-15,AAPL,391.94,374.54,376876,Technology
2024-08-14,MSFT,487.62,475.15,433067,Technology
2024-08-24,AMZN,970.54,1000.1,384542,Consumer
2024-08-02,AAPL,811.61,772.16,563636,Technology
2024-08-16,MSFT,295.54,293.91,248582,Technology
2024-08-23,MSFT,189.42,192.94,571913,Technology
2024-08-22,GOOGL,809.78,817.55,291743,Technology
2024-08-08,GOOGL,198.93,206.22,139205,Technology
2024-08-22,AAPL,422.42,434.6,618457,Technology
2024-08-16,TSLA,371.47,376.79,33663,Automotive
2024-08-09,MSFT,442.81,447.12,310222,Technology
2024-08-15,TSLA,748.76,727.42,474489,Automotive
2024-08-09,GOOGL,600.73,605.92,589866,Technology
2024-08-12,AAPL,415.1,417.44,121465,Technology
2024-08-07,MSFT,616.69,635.64,887209,Technology
2024-08-09,AAPL,344.89,350.48,510253,Technology
2024-08-31,MSFT,235.86,225.68,464688,Technology
2024-08-03,GOOGL,135.23,138.04,461767,Technology
2024-08-23,TSLA,184.11,187.25,534188,Automotive
2024-08-22,AMZN,552.62,548.13,170930,Consumer
2024-08-04,GOOGL,371.04,354.26,441218,Technology
2024-08-03,MSFT,345.89,356.24,459176,Technology
2024-08-19,AMZN,249.98,248.58,469849,Consumer
2024-08-21,AAPL,213.61,207.97,677502,Technology
2024-08-24,TSLA,905.43,936.75,263778,Automotive
2024-08-06,GOOGL,632.63,637.73,180516,Technology
2024-08-05,MSFT,534.65,550.94,719264,Technology
2024-08-04,TSLA,870.53,905.09,868161,Automotive
2024-08-03,AMZN,237.87,243.76,636163,Consumer
2024-08-04,AMZN,437.01,454.11,471325,Consumer
2024-08-15,GOOGL,993.56,982.93,134533,Technology
2024-08-04,AAPL,316.6,302.9,623795,Technology
2024-08-15,TSLA,387.01,390.8,706200,Automotive
2024-08-10,MSFT,609.27,631.08,100994,Technology
2024-08-12,TSLA,527.95,504.01,78959,Automotive
2024-08-07,GOOGL,491.21,487.33,508753,Technology
2024-08-31,TSLA,139.87,146.63,711380,Automotive
2024-08-25,MSFT,408.76,420.38,547428,Technology
2024-08-28,TSLA,840.35,801.83,754905,Automotive
2024-08-06,MSFT,360.4,352.02,900695,Technology
2024-08-27,MSFT,811.97,791.49,676933,Technology
2024-08-30,AAPL,676.48,679.03,161097,Technology
2024-08-14,GOOGL,976.88,943.21,343622,Technology
2024-08-09,AMZN,627.79,644.31,682406,Consumer
2024-08-11,AMZN,167.35,168.48,457112,Consumer
2024-08-12,GOOGL,313.09,305.61,331310,Technology
2024-08-04,AAPL,823.51,793.85,13537,Technology
2024-08-04,AAPL,847.34,888.23,138064,Technology
2024-08-07,GOOGL,841.31,830.56,661914,Technology
2024-08-12,GOOGL,931.72,925.49,760620,Technology
2024-08-30,TSLA,655.28,664.93,524125,Automotive
2024-08-12,TSLA,552.15,545.99,189550,Automotive
2024-08-23,MSFT,790.16,829.64,168378,Technology
2024-08-11,GOOGL,406.68,393.56,842403,Technology
2024-08-27,MSFT,964.5,952.31,988678,Technology
2024-08-22,TSLA,452.44,474.8,596048,Automotive
2024-08-02,GOOGL,896.1,895.48,398108,Technology
2024-08-23,MSFT,182.02,182.82,194862,Technology
2024-08-23,GOOGL,213.57,211.93,717308,Technology
2024-08-27,MSFT,907.33,863.8,858091,Technology
2024-08-07,AMZN,554.61,562.12,130890,Consumer
2024-08-16,AAPL,824.89,849.83,630180,Technology
2024-08-27,AAPL,689.86,724.18,273028,Technology
2024-08-25,MSFT,556.58,575.81,882473,Technology
2024-08-17,TSLA,164.09,170.48,525788,Automotive
2024-08-06,GOOGL,408.46,424.85,377701,Technology
2023-10-07,GOOGL,762.82,776.3,936518,Technology
2023-10-29,MSFT,350.08,340.11,801581,Technology
2023-10-08,MSFT,643.35,663.11,766179,Technology
2023-10-07,MSFT,619.62,632.3,49050,Technology
2023-10-31,TSLA,459.46,446.56,146051,Automotive
2023-10-14,AAPL,177.09,176.84,73574,Technology
2023-10-27,AMZN,967.93,1009.45,792952,Consumer
2023-10-09,MSFT,295.93,282.86,772476,Technology
2023-10-31,AAPL,183.07,181.67,291120,Technology
2023-10-15,AAPL,103.19,105.99,669061,Technology
2023-10-21,MSFT,909.08,936.0,903512,Technology
2023-10-02,MSFT,804.15,797.05,703448,Technology
2023-10-05,TSLA,864.76,827.82,435572,Automotive
2023-10-19,AAPL,510.82,526.22,701005,Technology
2023-10-29,AMZN,847.51,851.57,941790,Consumer
2023-10-23,GOOGL,855.88,836.82,816451,Technology
2023-10-23,AAPL,607.57,590.43,734442,Technology
2023-10-23,TSLA,721.55,730.73,107851,Automotive
2023-10-16,AAPL,619.32,630.87,160097,Technology
2023-10-19,MSFT,129.38,126.64,297451,Technology
2023-10-18,AMZN,832.21,836.38,477919,Consumer
2023-10-27,MSFT,494.3,504.1,128324,Technology
2023-10-24,AAPL,522.54,547.06,356007,Technology
2023-10-24,TSLA,132.31,126.6,662820,Automotive
2023-10-31,AAPL,509.31,518.11,706000,Technology
2023-10-01,AMZN,689.43,712.44,646558,Consumer
2023-10-25,AMZN,945.15,924.33,724811,Consumer
2023-10-07,GOOGL,472.43,487.9,419098,Technology
2023-10-06,AMZN,508.28,490.87,327775,Consumer
2023-10-23,AAPL,504.76,520.4,684501,Technology
2023-10-29,AAPL,740.26,741.44,131734,Technology
2023-10-06,AMZN,503.74,478.82,84074,Consumer
2023-10-24,TSLA,511.4,491.5,950115,Automotive
2023-10-16,MSFT,132.96,134.91,301009,Technology
2023-10-26,GOOGL,908.81,903.82,93055,Technology
2023-10-21,AAPL,212.79,208.9,78767,Technology
2023-10-08,GOOGL,832.13,868.22,757157,Technology
2023-10-07,AMZN,429.34,425.07,598983,Consumer
2023-10-07,TSLA,712.36,685.21,102377,Automotive
2023-10-16,MSFT,823.57,825.16,157175,Technology
2023-10-27,AMZN,253.46,256.73,650840,Consumer
2023-10-05,AMZN,233.0,237.21,34104,Consumer
2023-10-05,MSFT,734.41,748.38,513756,Technology
2023-10-07,AAPL,687.07,668.67,775568,Technology
2023-10-25,AMZN,990.19,994.48,518904,Consumer
2023-10-29,TSLA,219.69,227.61,125395,Automotive
2023-10-08,AAPL,129.0,131.07,645793,Technology
2023-10-01,TSLA,953.67,989.88,956858,Automotive
2023-10-29,AAPL,975.06,1018.12,704953,Technology
2023-10-03,GOOGL,272.74,273.46,855814,Technology
2023-10-16,GOOGL,610.03,631.35,710922,Technology
2023-10-25,MSFT,126.66,123.79,473436,Technology
2023-10-17,AMZN,267.16,269.45,399535,Consumer
2023-10-25,TSLA,124.22,127.04,989780,Automotive
2023-10-24,AMZN,387.02,379.29,850541,Consumer
2023-10-27,AAPL,413.13,427.4,648351,Technology
2023-10-12,GOOGL,832.36,849.51,312893,Technology
2023-10-31,TSLA,445.34,431.35,667371,Automotive
2023-10-12,GOOGL,362.88,354.71,564723,Technology
2023-10-31,TSLA,720.22,746.22,640905,Automotive
2023-10-13,MSFT,280.6,282.39,319672,Technology
2023-10-11,AAPL,139.51,135.76,887575,Technology
2023-10-11,AMZN,546.51,540.1,448389,Consumer
2023-10-23,GOOGL,418.55,435.64,289339,Technology
2023-10-14,AAPL,323.07,314.71,560614,Technology
2023-10-26,AMZN,100.62,104.82,212250,Consumer
2023-10-01,GOOGL,440.55,450.86,309823,Technology
2023-10-15,AMZN,279.71,266.44,180130,Consumer
2023-10-30,AMZN,201.27,194.22,595116,Consumer
2023-10-03,TSLA,118.05,121.36,805858,Automotive
2023-10-07,MSFT,269.52,269.99,252974,Technology
2023-10-21,TSLA,834.41,821.32,749021,Automotive
2023-10-09,MSFT,380.88,365.75,528786,Technology
2023-11-23,AMZN,456.07,474.98,482141,Consumer
2023-11-02,TSLA,544.16,558.08,903931,Automotive
2023-11-03,MSFT,494.29,495.16,127882,Technology
2023-11-29,AAPL,462.36,454.93,904529,Technology
2023-11-26,GOOGL,479.69,469.07,262941,Technology
2023-11-07,MSFT,245.42,243.99,740945,Technology
2023-11-07,MSFT,416.03,416.42,713526,Technology
2023-11-22,AAPL,373.49,362.67,824927,Technology
2023-11-13,MSFT,903.72,865.82,159157,Technology
2023-11-11,MSFT,785.11,775.62,789539,Technology
2023-11-15,AMZN,840.1,806.96,380781,Consumer
2023-11-02,AAPL,544.88,535.35,512233,Technology
2023-11-03,GOOGL,375.59,378.65,497249,Technology
2023-11-27,AAPL,648.67,664.24,994620,Technology
2023-11-23,MSFT,618.62,634.9,184700,Technology
2023-11-24,MSFT,660.37,660.27,464513,Technology
2023-11-10,AMZN,939.39,919.84,740677,Consumer
2023-11-24,AAPL,648.54,640.92,717318,Technology
2023-11-16,MSFT,798.17,776.63,841886,Technology
2023-11-09,MSFT,297.1,287.89,263801,Technology
2023-11-06,GOOGL,665.42,692.26,678737,Technology
2023-11-21,GOOGL,989.94,1018.35,216173,Technology
2023-11-13,AAPL,846.84,851.43,615867,Technology
2023-11-04,AMZN,800.22,801.28,115351,Consumer
2023-11-23,AAPL,389.9,376.19,133321,Technology
2023-11-06,GOOGL,239.26,238.83,889432,Technology
2023-11-09,GOOGL,550.24,568.58,846362,Technology
2023-11-06,GOOGL,821.19,830.89,873442,Technology
2023-11-13,GOOGL,925.07,907.52,688923,Technology
2023-11-29,AAPL,677.06,702.39,582478,Technology
2023-11-06,GOOGL,847.35,863.0,730168,Technology
2023-11-17,AAPL,424.81,427.88,491110,Technology
2023-11-27,GOOGL,625.01,596.8,296023,Technology
2023-11-13,AMZN,357.17,339.6,113718,Consumer
2023-11-16,MSFT,779.47,756.01,534853,Technology
